model,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
LinearRegression,2442446.9807007103,275843.70187024015,5587168.800183554,1293603.7592613308,0.4164560646113772,0.10636072102048445
DecisionTree,2604740.157295017,338618.4560116941,5816100.348447846,1436992.7364601514,0.36210539040025747,0.17252477771131047
KNN,2565859.8919500657,292766.3814254779,5859987.144070972,1369491.2708895258,0.3608872873158804,0.09329288800266722
Dummy_Median,3631260.593548658,283822.5487789038,7494681.006845099,1314545.0530490968,-0.05921949972785514,0.012926422731254914
