model,best_cv_rmse,test_mae,test_rmse,test_r2,test_mape_pct
XGBoost,5330948.75,2563566.5,6783881.524097543,0.3857409358024597,37.66174614429474
RandomForest,5326767.676291724,2702071.607742316,6914710.209332497,0.36182020562843664,41.75890850991774
