mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.7795231819152832,0.253213896215174,0.8534671306610108,0.26948495609521017,,sqrt,1,2,200,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-6597639.488262754,-4033570.2264935425,-6863940.033501385,-3621752.7570904144,-5516935.876110522,-5326767.676291724,1311000.646934846,1,-1950486.4678927246,-2116876.463783865,-1919806.8728265166,-2148041.801745977,-1983686.4323358024,-2023779.607716977,91539.93022991075
1.4938014030456543,0.49729386369373585,0.5736375331878663,0.37437837691573156,,sqrt,1,5,200,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-6713199.381929897,-3972620.975601032,-6799501.421896641,-3693694.289717196,-5469435.278797414,-5329690.269588436,1312409.3012333142,2,-2929496.5933227665,-3198595.881262695,-2934387.60249423,-3328172.461241949,-3037978.052289901,-3085726.1181223085,155634.63704830626
3.519351100921631,0.37477441824864416,0.7473752498626709,0.37027729870602416,,sqrt,1,2,400,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 400}",-6648503.42975304,-4068050.5991284363,-6819294.962702372,-3662093.4636641648,-5543746.720429268,-5348337.835135456,1294209.0684290605,3,-1934355.103056529,-2168447.533989438,-1927409.3688525844,-2177520.0369078484,-2047828.9417511625,-2051112.1969115124,108343.81545747384
3.1192795753479006,0.5839030555995957,1.1320131301879883,0.38911227067427523,,sqrt,1,5,400,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 400}",-6785619.636684249,-4020606.0778173506,-6800393.8916239645,-3723634.6913669053,-5465496.453386355,-5359150.150175764,1310718.8336221117,4,-2923189.3027581894,-3236889.81258718,-2992844.72342518,-3347188.320470951,-3087631.112980289,-3117548.6544443583,155690.96025552237
3.806417179107666,0.2838915597883739,1.0863956928253173,0.37202814272321866,20,sqrt,1,2,400,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 400}",-6814059.2659527585,-4088464.6128863264,-6933070.565286125,-3874581.2826529625,-5529605.0571351675,-5447956.156782668,1296317.4616293542,5,-2835926.717466538,-3182694.326188297,-2830408.5685954015,-3175663.630062912,-2987470.096696465,-3002432.6678019227,154947.4959520578
2.6743236541748048,0.11842397583468169,0.753254747390747,0.2727470891484453,20,sqrt,1,2,200,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-6904560.694967712,-4075515.134024985,-6947043.084659433,-3851008.6395005863,-5528397.258007369,-5461304.962232018,1327280.9762537428,6,-2864943.6647921074,-3130228.2484360356,-2821016.6829486834,-3084855.6663505337,-2927098.7099024523,-2965628.5944859623,121525.92544623921
3.728064489364624,0.7421173274335126,1.475839948654175,0.21820296543745946,20,0.8,2,5,200,"{'model__max_depth': 20, 'model__max_features': 0.8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-6560163.575208312,-4590874.217627316,-6482315.191778574,-3930757.677393067,-5752914.077330953,-5463404.947867645,1042611.2064180311,7,-3716003.1363701206,-4056758.023205051,-3769988.648863188,-4231174.535668188,-3904685.0293281325,-3935721.8746869364,189023.35094284342
2.135285186767578,0.22901343678843109,0.5410939216613769,0.05895658875178687,20,sqrt,1,5,200,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-6873352.549308969,-4023856.337752243,-6985153.722767488,-3918770.6900626007,-5546693.321412457,-5469565.324260752,1324281.9915690657,8,-3453214.962018498,-3784218.1821740344,-3485307.325231052,-3806112.390186706,-3553937.749317075,-3616558.121785473,149579.2679521685
4.221771287918091,0.596583663166058,0.8003279685974121,0.4399570096103184,20,0.8,2,5,400,"{'model__max_depth': 20, 'model__max_features': 0.8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 400}",-6545367.634740246,-4541999.339460568,-6516394.632519852,-3977156.3722767653,-5777132.407172937,-5471610.077234074,1042635.3104898207,9,-3711286.7095982386,-4042803.301840003,-3770554.7354728566,-4269671.41342243,-3923506.4742221027,-3943564.526911126,200240.7219854688
4.812550067901611,0.3698428457262297,0.8644680976867676,0.4107298016059395,20,sqrt,1,5,400,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 400}",-6870251.260779728,-4068831.1545755677,-6961229.0207483815,-3911820.508724238,-5550946.10523827,-5472615.610013237,1310128.4754505844,10,-3465684.876377503,-3826373.8992033605,-3514887.4488386926,-3853691.5639836863,-3612695.3335918067,-3654666.62439901,158813.23814785093
