mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.441134309768677,0.18835265346894559,0.04691634178161621,0.01900083499443097,1.0,0.05,6,500,0.8,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 500, 'model__subsample': 0.8}",-6849562.5,-3706032.0,-6862004.0,-3814511.75,-5626801.5,-5371782.35,1390643.4089930423,12,-1041612.1875,-1144747.0,-1122280.125,-1116573.875,-1060755.25,-1097193.6875,39200.25870677546
1.2154879570007324,0.21285450953110632,0.03659205436706543,0.008080928634398014,1.0,0.1,4,500,1.0,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 500, 'model__subsample': 1.0}",-6758159.5,-3871929.5,-6885557.0,-3762708.25,-5598181.0,-5375307.05,1349327.7996943553,13,-1360790.0,-1445922.75,-1405349.5,-1464745.75,-1372982.375,-1409958.075,40251.926992350316
0.8902243614196778,0.06481234083126995,0.031398439407348634,0.0011442076247266918,0.8,0.1,6,300,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__subsample': 1.0}",-6897326.5,-3745307.25,-7045371.0,-3707017.75,-5503367.0,-5379677.9,1453413.1669217688,14,-1187914.625,-1249126.5,-1235208.875,-1273396.0,-1221353.75,-1233399.95,28510.721930376476
1.1871164798736573,0.18367643406507844,0.035941362380981445,0.0037636420850028045,0.8,0.05,4,500,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 500, 'model__subsample': 1.0}",-6765614.0,-3830340.25,-6969205.5,-3804091.75,-5537725.5,-5381395.4,1367866.9547188296,15,-1811018.5,-1974943.125,-1863402.5,-1947452.875,-1857497.625,-1890862.925,60851.216687743814
0.7588597774505615,0.11080206004789174,0.036988019943237305,0.0062663069171513845,1.0,0.1,4,300,1.0,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 300, 'model__subsample': 1.0}",-6745143.5,-3889171.0,-6900071.5,-3766281.25,-5608151.0,-5381763.65,1345580.2301268736,16,-1658268.625,-1773159.5,-1718660.875,-1805468.375,-1681212.25,-1727353.925,55095.22659193127
1.2840460300445558,0.06573432529932675,0.03296165466308594,0.0026189178843831658,0.8,0.1,6,500,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 500, 'model__subsample': 1.0}",-6915820.5,-3738673.75,-7054207.5,-3723050.5,-5502213.0,-5386793.05,1457110.4388819193,17,-930602.4375,-969491.6875,-985864.1875,-988452.3125,-962620.9375,-967406.3125,20810.579440815673
0.7897652149200439,0.1407024814549479,0.04213805198669433,0.008682067404100666,0.8,0.05,4,300,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 300, 'model__subsample': 1.0}",-6743718.0,-3893440.25,-6976595.5,-3788298.25,-5544724.0,-5389355.2,1354910.6777022737,18,-2176833.0,-2381833.75,-2215712.75,-2361442.25,-2210203.0,-2269204.95,84933.13701044487
1.2574063301086427,0.21705548846430606,0.039534473419189455,0.009831532350723336,0.8,0.05,4,500,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 500, 'model__subsample': 0.8}",-6695000.5,-3929261.25,-6784268.0,-3850599.25,-5688622.5,-5389550.3,1283720.8662347258,19,-1560114.75,-1730064.5,-1658572.625,-1722537.0,-1596740.5,-1653605.875,67225.51786914698
1.0489530563354492,0.08345705416331875,0.03745756149291992,0.006960864826854007,1.0,0.05,4,500,1.0,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 500, 'model__subsample': 1.0}",-6787481.5,-3947080.25,-6929561.5,-3776890.25,-5536721.0,-5395546.9,1343779.582889439,20,-1803806.875,-1946355.875,-1842861.75,-1918498.625,-1834118.75,-1869128.375,54007.43677512154
1.6833295345306396,0.17330784324444967,0.04417719841003418,0.011625020041826408,1.0,0.1,6,300,0.8,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__subsample': 0.8}",-6807448.0,-3867617.75,-6896611.5,-3799293.75,-5632681.5,-5400730.5,1355385.5337749016,21,-955652.0625,-1006004.25,-1010972.0,-1052478.375,-965356.875,-998092.7125,34811.24125030412
