TenDonVi,DiaChi,LienCap,TenMien
THPT Tam Phú,"31 Phú Châu, KP5, P. Tam Phú Q. Thủ Đức",Không,http://thpttamphu.hcm.edu.vn/
THPT Hiệp Bình,"63 Đường Hiệp Bình, Kp6, P.Hiệp Bình Phước, Q.Thủ Đức, Tp.Hồ Chí Minh",Không,http://thpthiepbinh.hcm.edu.vn
Trường Phổ Thông Năng Khiếu Thể Thao Olympic,None,Không,http://nkttolympic.hcm.edu.vn
THPT Linh Trung,None,Không,http://thptlinhtrung.hcm.edu.vn
Trường THPT Năng khiếu TDTT Huyện Bình Chánh,None,Không,http://thptnangkhieutdttbinhchanh.hcm.edu.vn
THPT Bình Chánh,D17/1D Huỳnh Văn Trí,Không,http://www.thptbinhchanh.edu.vn/
THPT Tân Túc,"C5/3K, Khu phố 3, Đường Bùi Thanh Khiết, TT. Tân Túc, H. Bình Chánh, Tp.HCM",Không,http://thpttantuc.hcm.edu.vn
THPT Lê Minh Xuân,G11/1 Ấp 7,Không,http://thptleminhxuan.edu.vn/
THPT ĐA PHƯỚC,D14/410A QL50 xã Đa Phước - Huyện Bình Chánh TP.HCM,Không,http://thptdaphuoc.com/
THPT Vĩnh Lộc B,"Đường số 3 Khu Dân Cư Vĩnh Lộc B, huyện Bình Chánh, TPHCM",Không,http://thptvinhlocb.hcm.edu.vn
THCS-THPT Thạnh An,None,Có,http://thcs-thptthanhan.hcm.edu.vn
THPT An Nghĩa,"Đường Tam Thôn Hiệp, Ấp An Nghĩa, Xã An Thới Đông, Huyện Cần Giờ, TP HCM",Không,http://thptannghia.hcm.edu.vn
THPT Bình Khánh,"Đường Rừng Sác, Bình An, Bình Khánh, Cần Giờ",Không,http://thptbinhkhanh.hcm.edu.vn
THPT Cần Thạnh,Đường Duyên Hải - Khu phố Miễu Ba,Không,http://thptcanthanh.hcm.edu.vn
THPT Củ Chi,Khu phố 1,Không,http://thptcuchi.hcm.edu.vn
THPT Quang Trung,Ấp Phước An,Không,http://thptquangtrung.hcm.edu.vn
THPT An Nhơn Tây,227 Ấp Chợ Cũ - Xã An Nhơn Tây - Củ Chi - Tp. Hồ Chí Minh,Không,http://thptannhontay.hcm.edu.vn
THPT Trung Phú,"1318 tỉnh lộ 8, Ấp 12",Không,http://thpttrungphu.hcm.edu.vn
THPT Trung Lập,"91/3 Trung Lập, Ấp Trung Bình",Không,http://thpttrunglap.hcm.edu.vn/
THPT Phú Hòa,Ấp Phú Lợi,Không,http://thptphuhoa.hcm.edu.vn
THPT Tân Thông Hội,Ấp Bàu Sim,Không,http://thpt-tanthonghoi.edu.vn/
THPT Phạm Văn Sáng,"26/1 Ấp 3, Xã Xuân Thới Thượng, Huyện Hóc Môn, TP. Hồ Chí Minh",Không,http://thpt-phamvansang.edu.vn/
THPT Bà Điểm,"Nguyễn Thị Sóc, Ấp Bắc Lân",Không,http://thptbadiem.hcm.edu.vn
THPT Nguyễn Văn Cừ,"Ấp 6, Nguyễn Văn Bứa",Không,http://thpt-nvc.edu.vn/
THPT Nguyễn Hữu Tiến,9A Ấp 7,Không,http://thpt-nguyenhuutien-tphcm.edu.vn/
THPT Nguyễn Hữu Cầu,7 Nguyễn Ảnh Thủ,Không,http://thptnguyenhuucau.hcm.edu.vn
THPT Lý Thường Kiệt,"đường Nam Thới 2, ấp Nam Thới",Không,http://thptlythuongkiet.e-school.edu.vn/
THPT Long Thới,280 Nguyễn Văn Tạo Ấp 2,Không,http://thptlongthoi.hcm.edu.vn
THPT Phước Kiển,"Đường Đào Sư Tích, Ấp 3",Không,http://thptphuockien.hcm.edu.vn
THPT Dương Văn Dương,,Không,http://thptduongvanduong.hcm.edu.vn
THPT Tây Thạnh,27 Đường C2,Không,http://thpt-taythanh-tphcm.edu.vn/
THPT Tân Bình,97/11 Nguyễn Cửu Đàm,Không,http://thpttanbinh.hcm.edu.vn
THPT Trần Phú,18 Lê Thúc Hoạch,Không,http://thpt-tranphu-tphcm.edu.vn/
THPT Vĩnh Lộc,"87, Đường Số 3, Kdc Vĩnh Lộc",Không,http://thptvinhloc.hcm.edu.vn
THPT Bình Hưng Hòa,"79/19 Đường số 4, Kp7,P.BHH,Q.Bình Tân",Không,http://thptbinhhunghoa.hcm.edu.vn
THPT Bình Tân,117/4H Hồ Văn Long,Không,http://thptbinhtan.hcm.edu.vn
THPT An Lạc,595 Kinh Dương Vương,Không,http://thptanlac.vn/
THPT Nguyễn Hữu Cảnh,845 Hương Lộ 2,Không,http://thptnguyenhuucanh.hcm.edu.vn/
