tieude,dientich,giavnd,vitri,phanloai,sophong,area_m2,price_vnd,standardized_location,property_type_clean,price_per_m2,price_group,area_group,has_studio,has_balcony,has_mezzanine,has_furniture,has_new,has_window,has_elevator
Duplex Nguyễn Thị Định,30 m,4700000,Quận 2,PhongTro,1,30.0,4700000.0,Quận 2,Phòng trọ,156666.66666666666,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng Nguyễn Duy Trinh,15 m,2000000,Quận 2,PhongTro,1,15.0,2000000.0,Quận 2,Phòng trọ,133333.33333333334,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng Nguyễn Duy Trinh,20 m,2900000,Quận 2,PhongTro,1,20.0,2900000.0,Quận 2,Phòng trọ,145000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Căn hộ Nguyễn Duy Trinh,31 m,5700000,Quận 2,PhongTro,1,31.0,5700000.0,Quận 2,Phòng trọ,183870.96774193548,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Căn hộ 2PN Cát Lái,75 m,7000000,Quận 2,PhongTro,1,75.0,7000000.0,Quận 2,Phòng trọ,93333.33333333333,Trung bình (4-8.5 triệu),Lớn (>50m²),False,False,False,False,False,False,False
Duplex Trần Não,25 m,5000000,Quận 2,PhongTro,1,25.0,5000000.0,Quận 2,Phòng trọ,200000.0,Trung bình (4-8.5 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Duplex Nguyễn Thị Định,42 m,5800000,Quận 2,PhongTro,1,42.0,5800000.0,Quận 2,Phòng trọ,138095.2380952381,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng Cát Lái 1PN,40 m,4700000,Quận 2,PhongTro,1,40.0,4700000.0,Quận 2,Phòng trọ,117500.0,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng Nguyễn Tư Nghiêm,39 m,4800000,Quận 2,PhongTro,1,39.0,4800000.0,Quận 2,Phòng trọ,123076.92307692308,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Duplex Lê Hữu Kiều,39 m,5400000,Quận 2,PhongTro,1,39.0,5400000.0,Quận 2,Phòng trọ,138461.53846153847,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng trung tâm gác cao,40 m,3500000,Quận 3,PhongTro,1,40.0,3500000.0,Quận 3,Phòng trọ,87500.0,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng Nguyễn Thiện Thuật,12 m,2600000,Quận 3,PhongTro,1,12.0,2600000.0,Quận 3,Phòng trọ,216666.66666666666,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng Cách Mạng Tháng Tám,13 m,2000000,Quận 3,PhongTro,1,13.0,2000000.0,Quận 3,Phòng trọ,153846.15384615384,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng Lý Chính Thắng,14 m,2500000,Quận 3,PhongTro,1,14.0,2500000.0,Quận 3,Phòng trọ,178571.42857142858,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Sleepbox Lê Văn Sỹ,35 m,1700000,Quận 3,PhongTro,1,35.0,1700000.0,Quận 3,Phòng trọ,48571.42857142857,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng Điện Biên Phủ,32 m,5000000,Quận 3,PhongTro,1,32.0,5000000.0,Quận 3,Phòng trọ,156250.0,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
