tieude,dientich,giavnd,vitri,phanloai,sophong,area_m2,price_vnd,standardized_location,property_type_clean,price_per_m2,price_group,area_group,has_studio,has_balcony,has_mezzanine,has_furniture,has_new,has_window,has_elevator
Phòng ban công gần sân bay và Aeon Tân Phú,35 m,4100000,Tân Bình,PhongTro,1,35.0,4100000.0,Tân Bình,Phòng trọ,117142.85714285714,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,True,False,False,False,False,False
KTX gần Học Viện Hàng Không,12 m,1500000,Tân Bình,PhongTro,1,12.0,1500000.0,Tân Bình,Phòng trọ,125000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trọ khu Bàu Cát,25 m,3900000,Tân Bình,PhongTro,1,25.0,3900000.0,Tân Bình,Phòng trọ,156000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng ban công mới gần GO Trường Chinh,31 m,4300000,Tân Bình,PhongTro,1,31.0,4300000.0,Tân Bình,Phòng trọ,138709.67741935485,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,True,False,False,False,False,False
Phòng có gác cửa sổ lớn Tân Sơn,26 m,3300000,Tân Bình,PhongTro,1,26.0,3300000.0,Tân Bình,Phòng trọ,126923.07692307692,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,True,False
Phòng gác lửng mới xây Tân Sơn,27 m,3200000,Tân Bình,PhongTro,1,27.0,3200000.0,Tân Bình,Phòng trọ,118518.51851851853,Thấp (<4 triệu),Vừa (25-50m²),False,False,True,False,True,False,False
Phòng trọ ở ghép ký túc xá Đất Thánh,50 m,500000,Tân Bình,PhongTro,1,50.0,500000.0,Tân Bình,Phòng trọ,10000.0,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng gác lửng mới xây gần chợ Hoàng Hoa Thám,25 m,3900000,Tân Bình,PhongTro,1,25.0,3900000.0,Tân Bình,Phòng trọ,156000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,True,False,True,False,False
Phòng gác lửng gần sân bay Tân Sơn Nhất,25 m,3300000,Tân Bình,PhongTro,1,25.0,3300000.0,Tân Bình,Phòng trọ,132000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,True,False,False,False,False
Phòng gác lửng full nội thất gần chợ Hoàng Hoa Thám,30 m,5000000,Tân Bình,PhongTro,1,30.0,5000000.0,Tân Bình,Phòng trọ,166666.66666666666,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,True,True,False,False,False
Ký túc xá gần sân bay Tân Sơn Nhất,30 m,1200000,Tân Bình,PhongTro,1,30.0,1200000.0,Tân Bình,Phòng trọ,40000.0,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng đẹp có ban công Hậu Giang,28 m,4300000,Tân Bình,PhongTro,1,28.0,4300000.0,Tân Bình,Phòng trọ,153571.42857142858,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,True,False,False,False,False,False
Phòng đẹp 196 Cộng Hòa gần CV Hoàng Văn Thụ,20 m,4200000,Tân Bình,PhongTro,1,20.0,4200000.0,Tân Bình,Phòng trọ,210000.0,Trung bình (4-8.5 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trọ mới xây mặt tiền Lê Trọng Tấn,20 m,2800000,Tân Phú,PhongTro,1,20.0,2800000.0,Tân Phú,Phòng trọ,140000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,True,False,False
Phòng gần Đại học Công Thương,25 m,4000000,Tân Phú,PhongTro,1,25.0,4000000.0,Tân Phú,Phòng trọ,160000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng full nội thất 1PN tách bếp 613 Âu Cơ,40 m,4500000,Tân Phú,PhongTro,1,40.0,4500000.0,Tân Phú,Phòng trọ,112500.0,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,True,False,False,False
Phòng trọ giá rẻ có gác không chung chủ,20 m,3200000,Tân Phú,PhongTro,1,20.0,3200000.0,Tân Phú,Phòng trọ,160000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng ban công mới xây gần Co.op Hòa Bình,33 m,4900000,Tân Phú,PhongTro,1,33.0,4900000.0,Tân Phú,Phòng trọ,148484.84848484848,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,True,False,False,True,False,False
Sleepbox KTX cao cấp gần Âu Cơ,50 m,1800000,Tân Phú,PhongTro,1,50.0,1800000.0,Tân Phú,Phòng trọ,36000.0,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Ký túc xá sinh viên gần HUIT,22 m,650000,Tân Phú,PhongTro,1,22.0,650000.0,Tân Phú,Phòng trọ,29545.454545454544,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Sleepbox 229 Tây Thạnh,35 m,1500000,Tân Phú,PhongTro,1,35.0,1500000.0,Tân Phú,Phòng trọ,42857.142857142855,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng trọ gác cao Lê Trọng Tấn,28 m,3500000,Tân Phú,PhongTro,1,28.0,3500000.0,Tân Phú,Phòng trọ,125000.0,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Dự án mới gần kênh 19/5 Tây Thạnh,28 m,4300000,Tân Phú,PhongTro,1,28.0,4300000.0,Tân Phú,Phòng trọ,153571.42857142858,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng duplex cửa sổ lớn đường Tân Sơn Nhì,40 m,4000000,Tân Phú,PhongTro,1,40.0,4000000.0,Tân Phú,Phòng trọ,100000.0,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,True,False
Phòng CH mini 1PN tách bếp gần ĐH Văn Hiến,35 m,4200000,Tân Phú,PhongTro,1,35.0,4200000.0,Tân Phú,Phòng trọ,120000.0,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng căn hộ dịch vụ gần Đại học Công Thương,20 m,3700000,Tân Phú,PhongTro,1,20.0,3700000.0,Tân Phú,Phòng trọ,185000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng ban công giá tốt Tân Sơn Nhì,20 m,3500000,Tân Phú,PhongTro,1,20.0,3500000.0,Tân Phú,Phòng trọ,175000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,True,False,False,False,False,False
Sleepbox KTX tiện nghi 488 Lê Trọng Tấn,40 m,1500000,Tân Phú,PhongTro,1,40.0,1500000.0,Tân Phú,Phòng trọ,37500.0,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng cao cấp nội thất đầy đủ Tân Sơn Nhì,28 m,3800000,Tân Phú,PhongTro,1,28.0,3800000.0,Tân Phú,Phòng trọ,135714.2857142857,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,True,False,False,False
Phòng tiện nghi Dương Văn Dương gần Aeon,25 m,3300000,Tân Phú,PhongTro,1,25.0,3300000.0,Tân Phú,Phòng trọ,132000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Gác lửng tiện nghi cạnh Aeon Tân Phú,20 m,3500000,Tân Phú,PhongTro,1,20.0,3500000.0,Tân Phú,Phòng trọ,175000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,True,False,False,False,False
Phòng trọ gần chợ Thủ Đức,24 m,2200000,Thủ Đức,PhongTro,1,24.0,2200000.0,Thủ Đức,Phòng trọ,91666.66666666667,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trọ đường 23 HBC gần Gigamall,20 m,3400000,Thủ Đức,PhongTro,1,20.0,3400000.0,Thủ Đức,Phòng trọ,170000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Nhà trọ đường 27 Hiệp Bình Chánh,20 m,3000000,Thủ Đức,PhongTro,1,20.0,3000000.0,Thủ Đức,Phòng trọ,150000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trọ Hiệp Bình Phước gần Vạn Phúc,18 m,2200000,Thủ Đức,PhongTro,1,18.0,2200000.0,Thủ Đức,Phòng trọ,122222.22222222222,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng xịn gần ĐH SPKT và ĐH Ngân Hàng,30 m,5500000,Thủ Đức,PhongTro,1,30.0,5500000.0,Thủ Đức,Phòng trọ,183333.33333333334,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng full nội thất gần chợ Hiệp Bình,25 m,4500000,Thủ Đức,PhongTro,1,25.0,4500000.0,Thủ Đức,Phòng trọ,180000.0,Trung bình (4-8.5 triệu),Nhỏ (<25m²),False,False,False,True,False,False,False
Phòng ban công full nội thất sát Gigamall,25 m,3800000,Thủ Đức,PhongTro,1,25.0,3800000.0,Thủ Đức,Phòng trọ,152000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,True,False,True,False,False,False
CHDV ban công gần Gigamall,25 m,4000000,Thủ Đức,PhongTro,1,25.0,4000000.0,Thủ Đức,Phòng trọ,160000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,True,False,False,False,False,False
Phòng có máy lạnh gần cầu vượt Linh Xuân,20 m,2800000,Thủ Đức,PhongTro,1,20.0,2800000.0,Thủ Đức,Phòng trọ,140000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng máy lạnh cửa sổ thoáng gần cầu vượt Linh Xuân,18 m,2600000,Thủ Đức,PhongTro,1,18.0,2600000.0,Thủ Đức,Phòng trọ,144444.44444444444,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,True,False
Phòng gần Tô Ngọc Vân Phạm Văn Đồng,20 m,3200000,Thủ Đức,PhongTro,1,20.0,3200000.0,Thủ Đức,Phòng trọ,160000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Ký túc xá sleepbox mới xây QL13,50 m,1500000,Thủ Đức,PhongTro,1,50.0,1500000.0,Thủ Đức,Phòng trọ,30000.0,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,True,False,False
KTX sleepbox full nội thất Thủ Đức,35 m,900000,Thủ Đức,PhongTro,1,35.0,900000.0,Thủ Đức,Phòng trọ,25714.285714285714,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,True,False,False,False
Studio kiểu Nhật full nội thất,30 m,8000000,Thủ Đức,PhongTro,1,30.0,8000000.0,Thủ Đức,Phòng trọ,266666.6666666667,Trung bình (4-8.5 triệu),Vừa (25-50m²),True,False,False,True,False,False,False
Sleepbox gần ĐH Ngân Hàng,35 m,1500000,Thủ Đức,PhongTro,1,35.0,1500000.0,Thủ Đức,Phòng trọ,42857.142857142855,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Trọ ở ghép giường tầng gần ngã tư Thủ Đức,30 m,1000000,Thủ Đức,PhongTro,1,30.0,1000000.0,Thủ Đức,Phòng trọ,33333.333333333336,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Sleepbox giá rẻ gần ngã tư Thủ Đức,10 m,1300000,Thủ Đức,PhongTro,1,10.0,1300000.0,Thủ Đức,Phòng trọ,130000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng KDC Phong Phú 4 gần Văn Hiến UEH,35 m,3300000,Bình Chánh,PhongTro,1,35.0,3300000.0,Bình Chánh,Phòng trọ,94285.71428571429,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Ở ghép giường tầng Bình Hưng Bình Chánh,30 m,1200000,Bình Chánh,PhongTro,1,30.0,1200000.0,Bình Chánh,Phòng trọ,40000.0,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng trọ máy lạnh Vĩnh Lộc A,19 m,1950000,Bình Chánh,PhongTro,1,19.0,1950000.0,Bình Chánh,Phòng trọ,102631.57894736843,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trọ Phạm Hùng giáp Quận 8,14 m,2600000,Bình Chánh,PhongTro,1,14.0,2600000.0,Bình Chánh,Phòng trọ,185714.2857142857,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng full nội thất gần Phạm Hùng Nguyễn Văn Linh,25 m,4000000,Bình Chánh,PhongTro,1,25.0,4000000.0,Bình Chánh,Phòng trọ,160000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,True,False,False,False
Ký túc xá nữ gần Đại học Văn Hiến,40 m,1800000,Bình Chánh,PhongTro,1,40.0,1800000.0,Bình Chánh,Phòng trọ,45000.0,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng trọ cho sinh viên UEH hoặc Văn Hiến,14 m,2500000,Bình Chánh,PhongTro,1,14.0,2500000.0,Bình Chánh,Phòng trọ,178571.42857142858,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng cho nữ hoặc cặp vợ chồng thuê,30 m,5000000,Bình Chánh,PhongTro,1,30.0,5000000.0,Bình Chánh,Phòng trọ,166666.66666666666,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng giá rẻ cửa sổ trời KDC Trung Sơn,25 m,3900000,Bình Chánh,PhongTro,1,25.0,3900000.0,Bình Chánh,Phòng trọ,156000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,True,False
Phòng trọ Dương Đình Cúc Tân Kiên,12 m,1400000,Bình Chánh,PhongTro,1,12.0,1400000.0,Bình Chánh,Phòng trọ,116666.66666666667,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng đầy đủ nội thất Khu Trung Sơn,20 m,3500000,Bình Chánh,PhongTro,1,20.0,3500000.0,Bình Chánh,Phòng trọ,175000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,True,False,False,False
Phòng trọ có sân đậu xe,20 m,1500000,Bình Chánh,PhongTro,1,20.0,1500000.0,Bình Chánh,Phòng trọ,75000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng khu Intresco 13E Bình Chánh,20 m,2000000,Bình Chánh,PhongTro,1,20.0,2000000.0,Bình Chánh,Phòng trọ,100000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng 25m2 QL50 Bình Chánh,25 m,2500000,Bình Chánh,PhongTro,1,25.0,2500000.0,Bình Chánh,Phòng trọ,100000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng KDC Trung Sơn nội thất đầy đủ,35 m,4500000,Bình Chánh,PhongTro,1,35.0,4500000.0,Bình Chánh,Phòng trọ,128571.42857142857,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,True,False,False,False
Phòng trọ gần trường Bình Khánh,15 m,1300000,Cần Giờ,PhongTro,1,15.0,1300000.0,Cần Giờ,Phòng trọ,86666.66666666667,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng riêng trong villa tại Củ Chi,35 m,26500000,Củ Chi,PhongTro,1,35.0,26500000.0,Củ Chi,Phòng trọ,757142.8571428572,Cao (>8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Nhà trọ gần khu công nghiệp Tây Bắc,16 m,700000,Củ Chi,PhongTro,1,16.0,700000.0,Củ Chi,Phòng trọ,43750.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trọ gần ngã 4 Tân Quy,25 m,1000000,Củ Chi,PhongTro,1,25.0,1000000.0,Củ Chi,Phòng trọ,40000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Bạn nữ thuê phòng riêng trong nhà nguyên căn,200 m,1400000,Củ Chi,PhongTro,1,200.0,1400000.0,Củ Chi,Phòng trọ,7000.0,Thấp (<4 triệu),Lớn (>50m²),False,False,False,False,False,False,False
Phòng trọ có gác lửng Củ Chi,16 m,1000000,Củ Chi,PhongTro,1,16.0,1000000.0,Củ Chi,Phòng trọ,62500.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,True,False,False,False,False
Phòng trọ gần khu công nghiệp Tây Bắc,12 m,900000,Củ Chi,PhongTro,1,12.0,900000.0,Củ Chi,Phòng trọ,75000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Căn hộ mini mới xây ở Củ Chi,15 m,2800000,Củ Chi,PhongTro,1,15.0,2800000.0,Củ Chi,Phòng trọ,186666.66666666666,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,True,False,False
Phòng trọ gần đường Nguyễn Kim Cương,18 m,800000,Củ Chi,PhongTro,1,18.0,800000.0,Củ Chi,Phòng trọ,44444.444444444445,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trọ tại thị trấn Củ Chi,25 m,1200000,Củ Chi,PhongTro,1,25.0,1200000.0,Củ Chi,Phòng trọ,48000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trọ có gác lửng đủ tiện nghi,25 m,850000,Củ Chi,PhongTro,1,25.0,850000.0,Củ Chi,Phòng trọ,34000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,True,False,False,False,False
Phòng trọ đường 131 Ấp 5 Tân Thạnh Đông,60 m,2800000,Củ Chi,PhongTro,1,60.0,2800000.0,Củ Chi,Phòng trọ,46666.666666666664,Thấp (<4 triệu),Lớn (>50m²),False,False,False,False,False,False,False
Phòng trọ Tân Thạnh Đông 2PN 2WC,132 m,4000000,Củ Chi,PhongTro,1,132.0,4000000.0,Củ Chi,Phòng trọ,30303.030303030304,Thấp (<4 triệu),Lớn (>50m²),False,False,False,False,False,False,False
Phòng trọ đường 456 Ấp Hội Thạnh,30 m,850000,Củ Chi,PhongTro,1,30.0,850000.0,Củ Chi,Phòng trọ,28333.333333333332,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng trọ Trần Thị Bầu Tân An Hội,16 m,1000000,Củ Chi,PhongTro,1,16.0,1000000.0,Củ Chi,Phòng trọ,62500.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Nhà trọ thoáng mát sạch sẽ Củ Chi,20 m,1000000,Củ Chi,PhongTro,1,20.0,1000000.0,Củ Chi,Phòng trọ,50000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trọ cao cấp mới 100% Củ Chi,15 m,3600000,Củ Chi,PhongTro,1,15.0,3600000.0,Củ Chi,Phòng trọ,240000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Căn hộ cao cấp giá rẻ tại Củ Chi,60 m,5000000,Củ Chi,PhongTro,1,60.0,5000000.0,Củ Chi,Phòng trọ,83333.33333333333,Trung bình (4-8.5 triệu),Lớn (>50m²),False,False,False,False,False,False,False
Phòng trọ mới sạch sẽ giờ giấc tự do,20 m,800000,Củ Chi,PhongTro,1,20.0,800000.0,Củ Chi,Phòng trọ,40000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trọ cao cấp Trung Lập Thượng,16 m,1500000,Củ Chi,PhongTro,1,16.0,1500000.0,Củ Chi,Phòng trọ,93750.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng gần Tô Ký và Nguyễn Ảnh Thủ,25 m,2000000,Hóc Môn,PhongTro,1,25.0,2000000.0,Hóc Môn,Phòng trọ,80000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng 45m2 có gác đầy đủ nội thất Bà Điểm,45 m,3500000,Hóc Môn,PhongTro,1,45.0,3500000.0,Hóc Môn,Phòng trọ,77777.77777777778,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,True,False,False,False
Phòng trọ Hóc Môn ở và buôn bán được,43 m,5000000,Hóc Môn,PhongTro,1,43.0,5000000.0,Hóc Môn,Phòng trọ,116279.06976744186,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng có gác gần ngã 4 Trung Chánh,20 m,1000000,Hóc Môn,PhongTro,1,20.0,1000000.0,Hóc Môn,Phòng trọ,50000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trọ mới xây gần trung tâm Hóc Môn,35 m,1900000,Hóc Môn,PhongTro,1,35.0,1900000.0,Hóc Môn,Phòng trọ,54285.71428571428,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,True,False,False
Phòng trọ Bà Điểm gần bến xe chợ,20 m,3000000,Hóc Môn,PhongTro,1,20.0,3000000.0,Hóc Môn,Phòng trọ,150000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng mới sạch thoáng mát gần Song Hành,35 m,1900000,Hóc Môn,PhongTro,1,35.0,1900000.0,Hóc Môn,Phòng trọ,54285.71428571428,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng trọ sau bến xe An Sương,12 m,1200000,Hóc Môn,PhongTro,1,12.0,1200000.0,Hóc Môn,Phòng trọ,100000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trọ mới xây Thới Tam Thôn,16 m,1100000,Hóc Môn,PhongTro,1,16.0,1100000.0,Hóc Môn,Phòng trọ,68750.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,True,False,False
Phòng trọ có gác ngay ngã 4 Trung Chánh,32 m,1400000,Hóc Môn,PhongTro,1,32.0,1400000.0,Hóc Môn,Phòng trọ,43750.0,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng gác lửng Phạm Văn Sáng,15 m,1400000,Hóc Môn,PhongTro,1,15.0,1400000.0,Hóc Môn,Phòng trọ,93333.33333333333,Thấp (<4 triệu),Nhỏ (<25m²),False,False,True,False,False,False,False
Phòng đường Nguyễn Hữu Cầu,32 m,2500000,Hóc Môn,PhongTro,1,32.0,2500000.0,Hóc Môn,Phòng trọ,78125.0,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng gác sạch đẹp Bà Điểm,20 m,2700000,Hóc Môn,PhongTro,1,20.0,2700000.0,Hóc Môn,Phòng trọ,135000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
CH mini có ban công khu Tanimex Tô Ký,28 m,3850000,Hóc Môn,PhongTro,1,28.0,3850000.0,Hóc Môn,Phòng trọ,137500.0,Thấp (<4 triệu),Vừa (25-50m²),False,True,False,False,False,False,False
2 nữ ở ghép nhà nguyên căn Hóc Môn,120 m,1700000,Hóc Môn,PhongTro,1,120.0,1700000.0,Hóc Môn,Phòng trọ,14166.666666666666,Thấp (<4 triệu),Lớn (>50m²),False,False,False,False,False,False,False
Nhà trọ Ấp Tam Đông Thới Tam Thôn,30 m,2500000,Hóc Môn,PhongTro,1,30.0,2500000.0,Hóc Môn,Phòng trọ,83333.33333333333,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng trọ Bà Điểm 2tr3,20 m,2300000,Hóc Môn,PhongTro,1,20.0,2300000.0,Hóc Môn,Phòng trọ,115000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trọ Hóc Môn giá từ 1tr7 đến 2tr6,25 m,1700000,Hóc Môn,PhongTro,1,25.0,1700000.0,Hóc Môn,Phòng trọ,68000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trọ Ấp Tam Đông Thới Tam Thôn 900k,9 m,900000,Hóc Môn,PhongTro,1,9.0,900000.0,Hóc Môn,Phòng trọ,100000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng cao cấp Lavila Kiến Á,26 m,4500000,Nhà Bè,PhongTro,1,26.0,4500000.0,Nhà Bè,Phòng trọ,173076.92307692306,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng khu biệt thự Lavila,25 m,4500000,Nhà Bè,PhongTro,1,25.0,4500000.0,Nhà Bè,Phòng trọ,180000.0,Trung bình (4-8.5 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trong căn hộ Hoàng Anh An Tiến,20 m,3100000,Nhà Bè,PhongTro,1,20.0,3100000.0,Nhà Bè,Phòng trọ,155000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
CHDV full nội thất chung cư Hoàng Anh Gia Lai,20 m,3600000,Nhà Bè,PhongTro,1,20.0,3600000.0,Nhà Bè,Phòng trọ,180000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,True,False,False,False
Phòng trọ sạch sẽ thoáng sát Quận 7,30 m,4500000,Nhà Bè,PhongTro,1,30.0,4500000.0,Nhà Bè,Phòng trọ,150000.0,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng trọ sạch sẽ yên tĩnh Nhà Bè,16 m,1600000,Nhà Bè,PhongTro,1,16.0,1600000.0,Nhà Bè,Phòng trọ,100000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
CHDV toilet và bếp riêng Lê Văn Lương,25 m,2500000,Nhà Bè,PhongTro,1,25.0,2500000.0,Nhà Bè,Phòng trọ,100000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng toilet riêng có gác máy lạnh Lê Văn Lương,30 m,2700000,Nhà Bè,PhongTro,1,30.0,2700000.0,Nhà Bè,Phòng trọ,90000.0,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng riêng trong chung cư Hoàng Anh Gold,15 m,3500000,Nhà Bè,PhongTro,1,15.0,3500000.0,Nhà Bè,Phòng trọ,233333.33333333334,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng mới xây đường Nguyễn Bình,34 m,2600000,Nhà Bè,PhongTro,1,34.0,2600000.0,Nhà Bè,Phòng trọ,76470.58823529411,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,True,False,False
Phòng trọ sinh viên Đào Sư Tích,16 m,2500000,Nhà Bè,PhongTro,1,16.0,2500000.0,Nhà Bè,Phòng trọ,156250.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng KDC Đào Sư Tích Phước Kiển,35 m,4000000,Nhà Bè,PhongTro,1,35.0,4000000.0,Nhà Bè,Phòng trọ,114285.71428571429,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng có sẵn nội thất toilet riêng,25 m,3000000,Nhà Bè,PhongTro,1,25.0,3000000.0,Nhà Bè,Phòng trọ,120000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,True,False,False,False
Phòng full nội thất 187A Lê Văn Lương,17 m,3100000,Nhà Bè,PhongTro,1,17.0,3100000.0,Nhà Bè,Phòng trọ,182352.9411764706,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,True,False,False,False
Phòng trọ giá rẻ xã Nhà Bè,16 m,1800000,Nhà Bè,PhongTro,1,16.0,1800000.0,Nhà Bè,Phòng trọ,112500.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
